Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2014,Livingston,Hemlock Lake,Livonia,October,6600,Lake Trout,5.8
2013,Sullivan,Chestnut Creek,Neversink,April,440,Brown Trout,8.5
2016,Herkimer,Sunday Creek,Webb,January,740,Brook Trout,8.5
2012,Monroe,Irondequoit Creek,"Brighton, Penfield, Perinton",May,5060,Brown Trout,8.8
2011,Oneida,West Canada Creek,"Trenton, Deerfield",June,3470,Brown Trout,9.8
2015,Sullivan,Ten Mile River East Branch,Tusten,May,30,Brown Trout,12.8
2017,Greene,Catskill Creek,Cairo,April,300,Brown Trout,13.3
2012,Otsego,Otego Creek,Hartwick,April,530,Brown Trout,7.9
2014,Warren,Thirteenth Lake,Johnsburg,May,500,Rainbow Trout,9.5
2015,Franklin,Tupper Lake,Altamont,May,10000,Lake Trout,6.3
2011,Washington,Batten Kill,Greenwich,May,1270,Brown Trout,8.3
2015,Oswego,Lake Ontario,Oswego (C),May,30810,Brown Trout,7.4
2017,Essex,Bass Lake,North Hudson,October,1700,Brook Trout,4.1
2016,Dutchess,Sprout Creek,East Fishkill,March,200,Brown Trout,13.6
2017,Washington,Dead Lake,Jackson,April,250,Brown Trout,12.2
2018,Oneida,Black River,Forestport,May,870,Brown Trout,8.1
2017,Clinton,Altona School Pond,Altona,April,100,Rainbow Trout,8.2
2016,Warren,Lake George,"Bolton, Hague",May,15000,Landlocked Salmon,7.9
2013,Cattaraugus,Maples Club Pond,Otto,April,300,Brook Trout,9.4
2015,Hamilton,Amos Lake,Arietta,September,300,Brook Trout,4.1
2012,Greene,Schoharie Creek,Lexington,April,400,Brown Trout,13.5
2013,Seneca,Cayuga Lake,NA,October,2500,Lake Sturgeon,10
2014,Fulton,Canada Lake,Caroga,May,2600,Lake Trout,7.3
2018,Cattaraugus,Red House Brook,Red House,April,960,Brown Trout,8.9
2012,Ulster,Sawkill Creek,Woodstock,May,220,Brown Trout,8.8
2016,Cattaraugus,Case Lake,Franklinville,April,600,Brown Trout,13.9
2016,Cayuga,North Brook,Brutus,April,1380,Brown Trout,9.1
2012,Delaware,Delaware River West Branch,Harpersfield,April,1860,Brown Trout,8.4
2017,Fulton,Northville Pond,Northampton,April,1250,Rainbow Trout,8
2015,Suffolk,Swan River,Brookhaven,November,200,Brown Trout,12
2018,Tioga,East Branch Owego Creek,"Newark Valley, Owego",May,570,Brown Trout,9.4
2011,Chemung,Park Station Pond,Erin,April,450,Brown Trout,13.2
2018,Lewis,Bonaparte Lake,Diana,May,1800,Lake Trout,6.8
2015,Putnam,Stillwater Pond,Kent,April,1000,Rainbow Trout,9
2013,Rockland,Cedar Pond Brook,Stony Point,March,250,Brown Trout,8.5
2011,Franklin,St. Regis River,Dickinson,May,1350,Brown Trout,8.3
2016,Suffolk,Hards Lake,Brookhaven,March,350,Brown Trout,13.7
2015,Fulton,East Caroga Lake,Caroga,April,1200,Rainbow Trout,8.3
2016,Suffolk,Twin Pond,Huntington,October,200,Brown Trout,11.8
2016,Hamilton,Sacandaga Lake,Lake Pleasant,June,32000,Walleye,1.7
2012,Franklin,Bone Pond,Santa Clara,November,190,Brook Trout,4.3
2016,Delaware,Delaware River East Branch,Middletown,April,150,Brown Trout,13.7
2012,Hamilton,Lake Eaton,NA,September,1000,Landlocked Salmon,5
2012,Lewis,Whetstone Marsh Pond,High Market,September,500,Tiger Muskellunge,10.5
2012,Onondaga,Skaneateles Lake,Spafford,October,7210,Rainbow Trout,3.7
2017,Essex,West Branch Ausable River,Wilmington,May,4870,Brown Trout,8
2011,Delaware,Delaware River East Branch,Middletown,April,150,Brown Trout,13.1
2018,Wyoming,Cattaraugus Creek,Java,April,400,Brown Trout,13.5
2012,Westchester,Stone Hill River,Bedford,March,100,Brown Trout,13.2
2012,Herkimer,Third Lake,Webb,April,1800,Rainbow Trout,9
2011,Columbia,Kinderhook Creek,Chatham,April,2120,Brown Trout,8.2
2018,Franklin,Little Trout River,"Burke, Constable",April,1130,Brown Trout,8.4
2016,Allegany,Genesee River,Amity,April,3150,Brown Trout,8.7
2018,Delaware,Delaware River East Branch,Middletown,April,1480,Brown Trout,9
2014,Wayne,S. Sanford (cooperator - Otse,Wolcott,May,80000,Walleye,0.4
2016,Hamilton,Clear Pond,Long Lake,May,700,Rainbow Trout,9.7
2011,Saratoga,Sand Creek,Edinburg,April,720,Brown Trout,8.4
2014,Sullivan,Beaver Kill,Rockland,May,1380,Brown Trout,9.1
2014,St Lawrence,Trout Lake,Edwards,May,1200,Lake Trout,6.7
2016,Monroe,Lake Ontario,Greece,July,16350,Brown Trout,3.1
2016,Erie,Little Buffalo Ck,"Lancaster, Elma",March,200,Brown Trout,13.8
2015,Essex,Trout Brook,Ticonderoga,May,260,Brown Trout,8.4
2013,Onondaga,Cold Brook,NA,April,50,Brown Trout,12.5
2017,Rensselaer,Poesten Kill,Poestenkill,April,250,Brown Trout,8
2017,Rockland,Minisceongo Creek North Branch,Haverstraw,March,50,Brown Trout,13
2015,Oneida,Hinckley Reservoir,Trenton,May,2000,Rainbow Trout,9.1
2015,Cattaraugus,Lime Lake,Machias,June,3100,Walleye,1.2
2017,Greene,Catskill Creek,Cairo,April,1070,Brown Trout,8.8
2016,Chautauqua,Chautauqua Creek,Westfield,April,60000,Steelhead,4.4
2015,Hamilton,Beaver Lake,Morehouse,May,1200,Brown Trout,7
2011,Hamilton,Blue Mountain Lake,Indian Lake,May,1300,Landlocked Salmon,6
2014,Greene,East Kill,Jewett,April,1670,Brown Trout,8.8
2016,Rensselaer,Unnamed Water,East Greenbush,April,500,Rainbow Trout,8.4
2013,Washington,Batten Kill,Salem,May,3640,Brown Trout,8.2
2013,Onondaga,9- mile creek,NA,May,150,Brown Trout,12.9
2013,Herkimer,Wolf Pond,Webb,October,200,Brook Trout,4
2018,Allegany,Genesee River,Wellsville,March,750,Brown Trout,12.9
2016,Monroe,Irondequoit Creek,"Brighton, Penfield, Perinton",May,4910,Brown Trout,9.5
2013,Putnam,Lake Gilead,Carmel,April,1000,Rainbow Trout,9
2014,Essex,West Branch Ausable River,Jay,June,250,Rainbow Trout,14
2015,St Lawrence,Round Pond,Piercefield,September,100,Brook Trout,4
2018,Hamilton,Big Rock Lake,Morehouse,September,1990,Brook Trout,4.8
2012,Herkimer,Big Moose Lake,Webb,September,2000,Brook Trout,4.1
2014,Putnam,Lake Gleneida,Carmel,April,790,Rainbow Trout,8.9
2018,Essex,Ausable River,Chesterfield,May,18000,Landlocked Salmon,1.1
2015,St Lawrence,St. Regis River,"Lawrence, Hopkinton",May,200,Brown Trout,13.1
2014,Oneida,Oriskany Creek,"Kirkland, Marshall",May,3450,Brown Trout,8.3
2011,Putnam,Croton River East Branch,Southeast,April,600,Rainbow Trout,8.3
2012,Essex,Cotters Pond,Schroon,November,400,Brook Trout,4.8
2016,Cattaraugus,Case Lake,NA,October,325,Brook Trout,12.8
2013,Lewis,Otter Creek,Greig,June,1890,Brown Trout,8.3
2012,Madison,T32 of E. BranchTioughnioga Ri,De Ruyter,April,490,Brown Trout,8.2
2013,Warren,Schroon River,Chester,May,500,Brook Trout,10.5
2012,Hamilton,Cedar River,Indian Lake,May,300,Rainbow Trout,8.8
2018,Sullivan,Willowemoc Creek,Rockland,April,1300,Brown Trout,9.1
2018,Cattaraugus,Great Valley Creek,Ellicottville,March,390,Brown Trout,8.7
2017,Allegany,Dodge Creek,Clarksville,March,2200,Brook Trout,8.7
2015,Putnam,Croton River East Branch,Southeast,April,2400,Brown Trout,8.8
2016,Delaware,Delaware River East Branch,Colchester,April,400,Brown Trout,13.6
2015,Lewis,Crystal Creek,New Bremen,May,250,Brown Trout,12.8
2017,Hamilton,Pine Pond,Indian Lake,September,250,Brook Trout,5
2013,Dutchess,Crum Elbow Creek,Hyde Park,March,580,Brown Trout,8.6
2012,Essex,Fish and Game Club Pond,Willsboro,May,175,Rainbow Trout,18
2016,Steuben,Cohocton River,Cohocton,April,370,Brown Trout,13.6
2012,Clinton,Saranac River,Plattsburgh,May,88000,Landlocked Salmon,1.2
2014,Hamilton,Piseco Lake,Arietta,June,3500,Lake Trout,6.7
2013,Greene,Schoharie Creek,Jewett,May,330,Brown Trout,9
2014,Clinton,Saranac River,Plattsburgh,May,1760,Brown Trout,8.7
2018,Franklin,Deuel Pond,Santa Clara,October,120,Brook Trout,4.5
2014,Essex,East Branch Ausable River,Jay,May,3018,Brown Trout,8.3
2013,Sullivan,Callicoon Ck North Branch,Callicoon,May,110,Brown Trout,9
2018,Tompkins,Enfield Creek,Ithaca (C),May,11250,Rainbow Trout,6.1
2017,Columbia,Lake Taghkanic,Gallatin,June,2500,Walleye,1.5
2014,Cayuga,Lake Ontario,Sterling,May,31010,Brown Trout,7.6
2017,Steuben,Canisteo River,Hornellsville,April,400,Brown Trout,12.9
2017,Essex,Dimmick Pond,Minerva,May,150,Brown Trout,13
2018,Hamilton,Slim Pond,Arietta,September,240,Brook Trout,5
2018,Herkimer,Lyon Lake,Webb,October,2000,Brook Trout,4.4
2017,Hamilton,Eighth Lake,Inlet,May,2800,Rainbow Trout,9
2016,Hamilton,Jessup River,Lake Pleasant,January,510,Brown Trout,8.5
2011,Chautauqua,Bear Lake,Pomfret,October,550,Muskellunge,8.1
2012,Essex,Johns Brook,Keene,March,350,Brook Trout,6
2011,Clinton,Saranac River,Black Brook,April,2700,Rainbow Trout,9.4
2012,St Lawrence,Darning Needle,NA,May,1000,Round Whitefish,1.4
2015,Warren,Lake Luzerne,Lake Luzerne,April,600,Rainbow Trout,8.9
2013,Putnam,Croton River West Branch,Kent,March,440,Brown Trout,8.2
2017,Dutchess,Fishkill Creek,Beekman,April,1900,Brown Trout,8.7
2018,Rockland,Pascack Brook,Orangetown,March,220,Rainbow Trout,9
2018,Franklin,Meadow Pond,Harrietstown,September,720,Brook Trout,4
2018,Steuben,Post Creek,Hornby,March,200,Brown Trout,12.3
2015,Oneida,Black River,Forestport,May,1010,Brook Trout,9
2018,Cortland,West Branch Tioughnioga River,Homer,May,490,Brown Trout,13.2
2017,Wayne,Lake Ontario,Williamson,May,4800,Brown Trout,8
2015,Hamilton,Shallow Lake,Long Lake,September,6400,Brook Trout,4.2
2018,Essex,Cheney Pond,Minerva,May,610,Brown Trout,8.2
2017,Lewis,Clear Pond,Croghan,September,800,Brook Trout,5
2017,Essex,Trout Brook,Ticonderoga,May,250,Brown Trout,8.7
2013,Cattaraugus,Ischua Creek,Franklinville,April,650,Brown Trout,13.2
2012,Rensselaer,Walloomsac River,Hoosick,April,2310,Brown Trout,8.1
2012,Ulster,Sandburg Creek,Wawarsing,May,220,Brown Trout,8.8
2017,Suffolk,Carmans River,Brookhaven,April,400,Rainbow Trout,9.1
2018,Oneida,Sauquoit Creek,New Hartford,April,1130,Brown Trout,7.9
2011,St Lawrence,Oswegatchie River,Clifton,May,340,Brown Trout,13.2
2015,Cattaraugus,Connoisarauley Creek,Ashford,March,350,Brook Trout,8.9
2016,Hamilton,Pine Mountain Pond,Indian Lake,September,600,Brook Trout,4
2011,Essex,Fish & Game Club Pond,Willsboro,May,125,Rainbow Trout,19
2013,Essex,The Branch,Elizabethtown,March,400,Brook Trout,8
2016,Suffolk,Connetquot River,Islip,March,600,Rainbow Trout,9
2017,Warren,New Lake,Stony Creek,May,370,Brown Trout,7
2017,Broome,Dudley Creek,Lisle,March,370,Brown Trout,9.1
2011,Dutchess,Wappingers Creek,Pleasant Valley,March,4060,Brown Trout,8.8
2011,Fulton,Long Pond,Stratford,October,300,Brook Trout,4.8
2015,Essex,Upper Cascade Lake,Keene,June,600,Brook Trout,8
2011,Columbia,Roeliff Jansen Kill,Clermont,May,3810,Brown Trout,8.8
2017,Hamilton,Handsome Pond,Long Lake,September,4000,Brook Trout,4
2011,Essex,Willsboro Club Pond 2,Willsboro,April,80,Brown Trout,9.4
2017,Oswego,North Branch Salmon River,Redfield,April,2000,Brook Trout,9
2015,Cattaraugus,Quaker Lake,NA,October,100,Brown Trout,27.5
2018,Broome,Oquaga Creek,Sanford,April,740,Brown Trout,8.9
2013,Warren,Lower Siamese Lake,Johnsburg,September,800,Brook Trout,3.7
2013,Chautauqua,Chautauqua Lake,Chautauqua,May,149200,Muskellunge,0.6
2013,Lewis,Payne Lake,Watson,May,500,Brook Trout,9.3
2011,Lewis,Oswegatchie River West Branch,Diana,May,750,Brook Trout,9.4
2013,Onondaga,Onondaga creek,NA,April,100,Brown Trout,7.7
2011,St Lawrence,Grass River,Russell,May,760,Brown Trout,8.3
2014,Franklin,Malone Village Pond,Malone,June,100,Brook Trout,9.7
2013,Franklin,Debar Pond,Duane,May,130,Landlocked Salmon,6.6
2013,Greene,Schoharie Creek,"Jewett, Lexington",May,800,Brown Trout,9
2012,Cattaraugus,Wrights Creek,Humphrey,March,750,Brown Trout,8
2013,Essex,Spruce Mill Brook,Lewis,May,400,Brook Trout,8
2011,Clinton,Little Ausable River,Peru,April,800,Brown Trout,9.4
2018,Essex,Trout Brook,Ticonderoga,September,500,Brook Trout,6
2018,Chenango,Genegantslet Creek,Smithville,April,30,Brown Trout,11.9
2016,Hamilton,Blue Mountain Lake,Indian Lake,April,650,Lake Trout,6.7
2015,Genesee,Oatka Creek,Le Roy,April,700,Brown Trout,13.1
2017,Orange,Moodna Creek,Cornwall,April,910,Brown Trout,8.8
2017,Essex,West Branch Ausable River,Wilmington,May,700,Brown Trout,13
2016,Herkimer,Unadilla River,"Columbia, Winfield",May,1500,Brown Trout,8.2
2013,Monroe,Lake Ontario,Hamlin,May,9820,Brown Trout,8.7
2012,Essex,Norton Brook,Keene,May,270,Brown Trout,8.4
2018,Essex,Wolf Pond,North Hudson,September,1830,Brook Trout,4.2
2017,Delaware,Charlotte Creek,Davenport,May,170,Brown Trout,9
2014,Onondaga,Furnace Brook,NA,March,200,Brook Trout,8.6
2012,Greene,Greens Lake,Athens,April,200,Brown Trout,13.5
2013,Suffolk,Carlls River,Babylon,November,50,Brown Trout,11.7
2015,Clinton,Upper Chateaugay Lake,Dannemora,April,5000,Lake Trout,6.4
2011,Fulton,Bacon Brook,Oppenheim,September,400,Brown Trout,5.5
2017,Essex,Lake Placid,North Elba,September,1000,Rainbow Trout,8
2011,Chenango,Genegantslet Creek,Smithville,April,30,Brown Trout,13.1
2018,St Lawrence,West Branch St. Regis River,Parishville and Stockholm,May,3920,Brown Trout,8.5
2015,Essex,Moose Mountain Pond,North Hudson,October,1900,Brook Trout,4.3
2012,Herkimer,Mohawk River,NA,August,500,Tiger Muskellunge,7.75
2016,Clinton,North Branch Great Chazy River,Mooers,May,250,Brown Trout,13.1
2011,Westchester,Amawalk Outlet,Somers,March,420,Brown Trout,8.8
2015,Niagara,Lake Ontario,Newfane,May,79800,Lake Trout,6.4
2011,Monroe,Oatka Creek,Wheatland,May,760,Brown Trout,9.6
2017,Wyoming,Little Tonawanda Creek,Middlebury,March,580,Brown Trout,9
2016,Seneca,Seneca Lake,Lodi,March,9210,Brown Trout,8.1
2013,Essex,LaChute River,Ticonderoga,March,1500,Rainbow Trout,13
2011,Columbia,Ore Pit Pond,Copake,April,300,Rainbow Trout,8.5
2017,Onondaga,Furnace Brook,NA,March,200,Brook Trout,8.1
2011,Rensselaer,Poesten Kill,Poestenkill,May,250,Brown Trout,8.3
2014,Essex,Paradox Lake,Schroon,April,500,Landlocked Salmon,6.9
2018,Herkimer,Bubb Lake,Webb,October,1000,Brook Trout,4.8
2012,Tioga,East Branch Owego Creek,"Newark Valley, Owego",May,580,Brown Trout,8.4
2014,Lewis,Oswegatchie River West Branch,Diana,May,800,Brook Trout,9.6
2014,Essex,Munson Pond,North Hudson,May,180,Brown Trout,8.5
2011,Rensselaer,Poesten Kill,Poestenkill,May,130,Brown Trout,8.3
2014,Franklin,St. Regis River,Dickinson,May,1260,Rainbow Trout,8.6
2012,Franklin,Saint Regis Pond,Santa Clara,May,1740,Splake,8.5
2017,Jefferson,Sixtown Pond,Henderson,May,520000,Walleye,0.3
2017,Orleans,Oak Orchard Creek,Carlton,April,26600,Chinook,3.1
2014,Saratoga,Kayaderosseras Creek,Milton,April,400,Brown Trout,13.3
2013,Schuyler,Potomac Pond,Hector,April,560,Brook Trout,8.1
2015,Westchester,Amawalk Outlet,Somers,March,1670,Brown Trout,8.3
2017,Otsego,Gilbert Lake,New Lisbon,October,130,Rainbow Trout,11.5
2011,Clinton,Dry Mill Brook,Peru and Ausable,April,640,Brown Trout,9.4
2015,Essex,Schroon River,North Hudson,July,800,Brook Trout,9
2013,Washington,Batten Kill,Salem,May,3850,Brown Trout,8.9
2013,Greene,Colgate Lake,Jewett,May,100,Brown Trout,13.4
2014,Essex,Hewitt Pond,Minerva,September,5100,Brook Trout,4.2
2015,Lewis,Harrisville F&g Pond,Diana,May,260,Brook Trout,9.3
2017,Lewis,Harrisville F&g Pond,Diana,May,300,Brook Trout,9
2015,Wyoming,Cattaraugus Creek,Java,April,1110,Brown Trout,8.9
2014,Dutchess,Sawkill,Red Hook,March,310,Brown Trout,9
2013,Lewis,Clear Pond,Croghan,September,500,Brook Trout,4.1
2016,Tompkins,Fall Creek,Groton,April,2930,Brown Trout,9.1
2017,Delaware,Delaware River East Branch,Colchester,April,400,Brown Trout,13.4
2018,Hamilton,South Branch West Canada Creek,"Hoffmeister,Morehouseville",June,2000,Brook Trout,9.1
2013,Suffolk,Argyle Lake,Babylon,March,150,Brown Trout,13.3
2012,Dutchess,Wappingers Creek,Poughkeepsie,March,2000,Rainbow Trout,9
2015,Essex,Lake Placid,North Elba,May,8500,Rainbow Trout,9
2013,Hamilton,Sacandaga River,Wells,May,1450,Brown Trout,8.7
2016,Hamilton,Sampson Lake,Arietta,January,2500,Brook Trout,5
2017,Monroe,Oatka Creek,Wheatland,April,200,Brown Trout,13.5
2011,Delaware,Beaver Kill,Colchester,May,850,Brown Trout,8.8
2014,Essex,BARTLETT POND,MORIAH,May,250,Brown Trout,13
2012,Fulton,Kennyetto Creek,Broadalbin,April,840,Brown Trout,8.4
2018,Herkimer,Bear Pond,Webb,October,2230,Brook Trout,4.6
2013,Hamilton,Haymarsh Pond,Long Lake,September,700,Brook Trout,4.1
2017,Allegany,Genesee River,Amity,May,3010,Brown Trout,9
2011,Suffolk,Connetquot River,Islip,May,200,Rainbow Trout,8.3
2013,Delaware,Mud Pond,Colchester,May,70,Brown Trout,9.2
2016,Delaware,Delaware River East Branch,Roxbury,May,90,Brown Trout,9.1
2012,Herkimer,Lw Okara Pond,Webb,April,980,Brown Trout,8.4
2017,Delaware,Beaver Kill,Colchester,April,250,Brown Trout,13.3
2011,Orange,Blue Lake,Warwick,April,680,Brown Trout,8.8
2015,Cattaraugus,Red House Brook,Red House,April,510,Brown Trout,8.7
2014,Fulton,Cayadutta Creek,Johnstown,June,470,Brown Trout,8.3
2016,Warren,Clear Pond,Chester/Minerva,January,150,Lake Trout,7
2012,St Lawrence,Horseshoe Lake,Piercefield,September,2100,Tiger Muskellunge,10.5
2013,Essex,Center Pond,Minerva,September,500,Brook Trout,3.7
2015,St Lawrence,Hedgehog Pond,Colton,October,300,Brook Trout,4.5
2013,Herkimer,Tied Lake,Webb,October,200,Brook Trout,4
2014,Franklin,Panther Pond,Harrietstown,September,500,Brook Trout,4.2
2015,Tompkins,Cayuga Lake,Ithaca (T),May,9800,Lake Trout,8.9
2012,Delaware,Delaware River West Branch,"Hamden, Walton",May,1020,Brown Trout,8.9
2013,Otsego,Arnold Lake,Hartwick,May,400,Rainbow Trout,8.8
2016,Hamilton,Cat Lake,Arietta,January,600,Brook Trout,4.5
2011,Greene,Kaaterskill,Catskill,May,800,Brown Trout,8.8
2011,Franklin,Malone Village Pond,Malone,May,80,Brown Trout,9.7
2016,Hamilton,Otter Lake,Arietta,January,800,Brook Trout,5
2013,Hamilton,Iron Lake,Arietta,September,400,Brook Trout,3.7
2011,Oneida,Mohawk River,Rome,March,6600,Brown Trout,8.1
2013,Columbia,Kinderhook Creek,New Lebanon,May,290,Brown Trout,8.3
2011,Oswego,South Branch Grindstone Creek,Richland,October,2000,Brook Trout,6.6
2015,Hamilton,Snag Lake,Morehouse,September,600,Brook Trout,3.8
2013,Hamilton,Sprague Pond,Indian Lake,May,650,Brown Trout,7.8
2011,Herkimer,Cage Lake,Webb,October,1000,Brook Trout,5
2011,Madison,Chittenango Creek,Sullivan,April,250,Brown Trout,13.1
2012,Jefferson,Lake Ontario,Henderson,April,15080,Brown Trout,7.8
2011,Cayuga,Fall Creek,Summer Hill,May,940,Brook Trout,9.9
2011,Greene,Schoharie Creek,"Jewett, Lexington",April,930,Brown Trout,8.3
2013,Broome,Oquaga Creek,Sanford,April,80,Brown Trout,12.7
2014,Suffolk,Upper Lake,Brookhaven,October,550,Brown Trout,11.3
2011,Suffolk,Southards Pond,Babylon,October,200,Brown Trout,11.3
2014,Essex,North Branch Boquet River,LEWIS,June,500,Brook Trout,9
2018,Franklin,Meacham Lake,Duane,October,2200,Splake,5.8
2016,Delaware,Delaware River West Branch,Delhi,April,280,Brown Trout,13.7
2011,Essex,Pharaoh Lake,Schroon,October,9400,Brook Trout,4.2
2012,Essex,Courtney Pond,North Hudson,November,400,Brook Trout,4.8
2017,Chemung,Cayuta Creek,Van Etten,April,2890,Brown Trout,9.1
2014,Essex,Lilypad Pond,Ticonderoga,September,200,Brook Trout,3.8
2013,Oneida,Hinckley Reservoir,Trenton,May,5000,Rainbow Trout,8.9
2015,Oneida,Mohawk River,Marcy,September,1000,Tiger Muskellunge,9.3
2018,Ulster,Rondout Creek,Wawarsing,May,120,Brown Trout,13.1
2014,Orange,Wawayanda Creek,Warwick,April,700,Brown Trout,8.8
2014,Saratoga,Paul Creek,Edinburg,May,340,Brown Trout,8.2
2014,Sullivan,Callicoon Creek East Branch,Delaware,May,180,Brown Trout,8.7
2013,Chautauqua,Cassadaga Creek,Stockton,May,360,Brown Trout,8.7
2014,Clinton,North Branch Great Chazy River,"Clinton, Moores",May,62,Brown Trout,9.2
2013,Delaware,Charlotte Creek,Davenport,April,3130,Brown Trout,8.5
2018,Hamilton,Indian River,Indian Lake,May,1350,Brown Trout,8
2011,Onondaga,Nine Mile Creek,NA,March,1600,Brown Trout,8
2011,Franklin,Trout River,"Constable, Malone, Bellmont",May,400,Brown Trout,14.1
2018,Chautauqua,CHAUTAUQUA LAKE (N),ELLERY,October,4695,Muskellunge,9.1
2017,Erie,Sprague Brook Park Veteran's P,Concord,April,200,Rainbow Trout,9
2012,Franklin,Little Ampersand Pond,Harrietstown,November,253,Brook Trout,4.3
2017,Sullivan,Mongaup Falls Reservoir,Lumberland,May,1240,Brown Trout,9.4
2017,Hamilton,N up Pine Pond,Wells,September,200,Brook Trout,4
2012,Yates,Keuka Lake Outlet,"Milo, Torrey",April,400,Brown Trout,12.8
2017,Lewis,Fish Creek East Branch,Lewis,May,410,Brown Trout,8
2016,Greene,Batavia Kill,Windham,April,220,Brown Trout,9
2011,Essex,Warren Pond,North Elba,October,150,Brook Trout,5.2
2015,Ontario,Canandaigua Lake,Canandaigua (T),April,12100,Lake Trout,8.5
2018,Lewis,Rock Pond,Croghan,May,300,Brook Trout,8
2014,Sullivan,Mongaup Creek,Rockland,April,180,Brown Trout,8.7
2012,Erie,Buffalo River,West Seneca,April,10000,Steelhead,5.5
2013,Otsego,Wharton Creek,Edmestom,April,2180,Brown Trout,7.9
2018,Niagara,Lake Ontario,Newfane,May,39835,Lake Trout,7.3
2012,Oneida,Cincinnati Creek,Trenton,May,750,Brown Trout,8.1
2015,Putnam,Croton River West Branch,Carmel,March,600,Brown Trout,8.3
2015,Putnam,Foundry Brook,Philipstown,April,90,Brown Trout,8.1
2011,Essex,Twentyninth Pond,Minerva,April,80,Brown Trout,8.4
2018,Oswego,Beaverdam Brook,Albion,May,85220,Coho,2.7
2012,Essex,Black River,Lewis/E'town,May,960,Brook Trout,8.1
2015,Chautauqua,Conewango Creek,"Kiantone, Carroll, Poland",October,1050,Muskellunge,8.7
2014,Albany,Thompsons Lake,Berne,April,530,Brown Trout,8.6
2012,Dutchess,Crum Elbow Creek,Hyde Park,March,250,Rainbow Trout,9
2013,Tioga,Catatonk Creek,Candor,April,1160,Brown Trout,9
2015,Essex,Ray Brook pond,NA,May,850,Brook Trout,0.2
2015,Madison,Chittenango Creek,Sullivan,April,940,Brown Trout,7.9
2011,Delaware,Big Pond,Andes,August,50,Brown Trout,15.3
2014,Cattaraugus,Little Conewango Creek,Conewango,March,1540,Brown Trout,8.9
2011,Franklin,Kit Fox Pond,Santa Clara,October,500,Brook Trout,4.8
2011,Westchester,Stone Hill River,Bedford,March,100,Brown Trout,13.4
